REGISTRATION_STATUS_ID,REGISTRATION_ID,STATUS,DATE_CREATED
842599,98914,TTG sent to county,2/12/2025
849093,98914,TTG sent to county,2/24/2025
855225,98914,Post Audit,3/6/2025
817676,100139,Send Docs to TTG,1/6/2025
821108,100565,Send Docs to TTG,1/9/2025
826601,100565,Documents Received ,1/17/2025
821769,100634,Send Docs to TTG,1/10/2025
826619,100634,Documents Received ,1/17/2025
826971,101234,On Hold- QA,1/17/2025
830154,101234,Send Docs to TTG,1/24/2025
827020,101255,On Hold- QA,1/17/2025
838585,101255,Send Docs to TTG,2/6/2025
840316,101255,Documents Received ,2/10/2025
840423,101255,TTG sent to county,2/10/2025
843048,101255,Post Audit,2/13/2025
828383,101465,Send Docs to TTG,1/22/2025
829706,101465,Documents Received ,1/23/2025
829751,101465,TTG sent to county,1/23/2025
836862,101465,Post Audit,2/4/2025
829352,101546,Send Docs to TTG,1/23/2025
836830,102317,On Hold- QA,2/4/2025
840081,102317,On Hold- QA,2/7/2025
841635,102317,On Hold- QA,2/11/2025
851093,102317,Send Docs to TTG,2/27/2025
852015,102317,Documents Received ,2/28/2025
852917,102317,TTG sent to county,3/3/2025
863514,102317,TTG sent to county,3/18/2025
868926,102317,Post Audit,3/26/2025
837533,102383,Send Docs to TTG,2/5/2025
837534,102383,On Hold- QA,2/5/2025
838421,102428,Send Docs to TTG,2/5/2025
838422,102428,On Hold- QA,2/5/2025
838432,102434,Send Docs to TTG,2/5/2025
838433,102434,On Hold- QA,2/5/2025
838435,102435,Send Docs to TTG,2/5/2025
838436,102435,On Hold- QA,2/5/2025
843129,102631,Documents Received ,2/13/2025
841191,102724,On Hold- QA,2/11/2025
843108,102724,On Hold- QA,2/13/2025
848779,102724,On Hold- QA,2/24/2025
850021,103564,Send Docs to TTG,2/25/2025
851217,103564,Documents Received ,2/27/2025
850784,103602,Send Docs to TTG,2/26/2025
852691,103602,Documents Received ,3/3/2025
901773,103602,Send Docs to TTG,5/15/2025
903890,103602,Documents Received ,5/19/2025
851078,103636,Send Docs to TTG,2/27/2025
851870,103636,Documents Received ,2/28/2025
851988,103636,TTG sent to county,2/28/2025
856641,103636,Post Audit,3/8/2025
854731,103752,Documents Received ,3/5/2025
855966,103752,Received Title,3/6/2025
942427,103752,Successfully Sent to DMV,7/17/2025
853944,103889,On Hold- QA,3/4/2025
855308,103889,Send Docs to TTG,3/6/2025
857783,103889,Documents Received ,3/10/2025
857803,103889,TTG sent to county,3/10/2025
861905,103889,Post Audit,3/17/2025
856104,104133,On Hold- QA,3/7/2025
857020,104133,Send Docs to TTG,3/9/2025
861282,104133,Documents Received ,3/14/2025
861309,104133,TTG sent to county,3/14/2025
865322,104133,Post Audit,3/20/2025
865335,104133,WS correction requested ,3/21/2025
868096,104133,WS Correction Complete,3/25/2025
859913,104510,On Hold- QA,3/13/2025
870125,104510,On Hold- QA,3/28/2025
871027,104510,On Hold- QA,3/31/2025
863186,104862,Send Docs to TTG,3/18/2025
863187,104862,On Hold- QA,3/18/2025
882796,104862,Documents Received ,4/14/2025
882814,104862,TTG sent to county,4/14/2025
864655,105003,On Hold- QA,3/20/2025
865360,105003,Send Docs to TTG,3/21/2025
877779,105003,Documents Received ,4/7/2025
878219,105003,TTG sent to county,4/7/2025
896212,105003,TTG sent to county,5/7/2025
902473,105003,Post Audit,5/16/2025
864679,105007,Send Docs to TTG,3/20/2025
868490,105007,Documents Received ,3/26/2025
868663,105007,TTG sent to county,3/26/2025
873894,105007,Post Audit,4/2/2025
868353,105379,On Hold- QA,3/26/2025
869005,105379,Send Docs to TTG,3/27/2025
884387,105379,Documents Received ,4/16/2025
884562,105379,TTG sent to county,4/16/2025
890036,105379,Post Audit,4/26/2025
868902,105449,Send Docs to TTG,3/26/2025
871539,105449,Documents Received ,3/31/2025
868906,105451,Send Docs to TTG,3/26/2025
871541,105451,Documents Received ,3/31/2025
873262,105835,On Hold- QA,4/1/2025
879269,105835,Send Docs to TTG,4/8/2025
881777,105835,Documents Received ,4/11/2025
882027,105835,TTG sent to county,4/11/2025
888491,105835,Post Audit,4/23/2025
873548,105875,On Hold- QA,4/2/2025
874419,105954,Send Docs to TTG,4/3/2025
874420,105954,On Hold- QA,4/3/2025
875536,105954,On Hold- QA,4/4/2025
879019,105954,Send Docs to TTG,4/8/2025
881878,105954,Documents Received ,4/11/2025
882026,105954,TTG sent to county,4/11/2025
888471,105954,Post Audit,4/23/2025
874630,105957,Send Docs to TTG,4/3/2025
877762,105957,Documents Received ,4/7/2025
878221,105957,TTG sent to county,4/7/2025
882261,105957,Post Audit,4/11/2025
879153,106248,On Hold- QA,4/8/2025
879716,106248,Send Docs to TTG,4/9/2025
883504,106248,Documents Received ,4/15/2025
883555,106248,TTG sent to county,4/15/2025
890007,106248,Post Audit,4/26/2025
881447,106421,Send Docs to TTG,4/10/2025
881961,106421,Documents Received ,4/11/2025
886683,106421,TTG sent to county,4/21/2025
889693,106421,Post Audit,4/25/2025
881535,106435,On Hold- QA,4/10/2025
883916,106435,Send Docs to TTG,4/15/2025
890542,106435,Documents Received ,4/28/2025
892163,106435,TTG sent to county,4/30/2025
897506,106435,Post Audit,5/8/2025
882669,106571,Send Docs to TTG,4/14/2025
883706,106571,Documents Received ,4/15/2025
886671,106571,TTG sent to county,4/21/2025
889720,106571,Post Audit,4/25/2025
883374,106649,Send Docs to TTG,4/15/2025
883375,106649,On Hold- QA,4/15/2025
884339,106649,Documents Received ,4/16/2025
884031,106695,Send Docs to TTG,4/15/2025
884032,106695,On Hold- QA,4/15/2025
890418,106695,Documents Received ,4/28/2025
888113,107180,Send Docs to TTG,4/23/2025
891286,107180,TTG sent to county,4/29/2025
890946,107541,Send Docs to TTG,4/29/2025
894846,107882,Send Docs to TTG,5/5/2025
895585,107882,Documents Received ,5/6/2025
895916,107982,Send Docs to TTG,5/7/2025
897136,107982,Documents Received ,5/8/2025
897144,107982,TTG sent to county,5/8/2025
974991,107982,Documents Received ,9/4/2025
975015,107982,Documents Received ,9/4/2025
975023,107982,TTG sent to county,9/4/2025
895741,107991,On Hold- QA,5/7/2025
903343,107991,On Hold- QA,5/18/2025
906496,107991,Send Docs to TTG,5/22/2025
910493,107991,Documents Received ,5/29/2025
921282,107991,TTG sent to county,6/16/2025
936584,107991,Post Audit,7/9/2025
896606,108093,On Hold- QA,5/7/2025
897688,108093,On Hold- QA,5/9/2025
902537,108093,On Hold- QA,5/16/2025
897059,108158,Documents Received ,5/8/2025
960878,108158,Received Title,8/14/2025
964287,108158,TTG sent to county,8/19/2025
897978,108236,On Hold- QA,5/9/2025
906267,108236,On Hold- QA,5/22/2025
914005,108236,On Hold- QA,6/4/2025
899460,108416,On Hold- QA,5/13/2025
899775,108470,Send Docs to TTG,5/13/2025
901810,108470,Documents Received ,5/15/2025
902084,108470,TTG sent to county,5/15/2025
922951,108470,TTG sent to county,6/17/2025
929275,108470,Post Audit,6/27/2025
901599,108685,On Hold- QA,5/15/2025
903350,108832,Send Docs to TTG,5/18/2025
903727,108899,On Hold- QA,5/19/2025
910808,108899,On Hold- QA,5/29/2025
912421,108899,Send Docs to TTG,6/2/2025
914158,108899,TTG sent to county,6/4/2025
921945,108899,Post Audit,6/17/2025
904514,108976,Send Docs to TTG,5/20/2025
906584,108976,Documents Received ,5/22/2025
906612,108976,TTG sent to county,5/22/2025
910872,108976,Post Audit,5/30/2025
906011,109061,On Hold- QA,5/22/2025
914544,109061,Documents Received ,6/5/2025
906013,109062,On Hold- QA,5/22/2025
914551,109062,Documents Received ,6/5/2025
906204,109079,Send Docs to TTG,5/22/2025
907733,109079,TTG sent to county,5/23/2025
913723,109079,Post Audit,6/4/2025
906213,109081,Send Docs to TTG,5/22/2025
911213,109081,Documents Received ,5/30/2025
911487,109081,On Hold- QA,5/30/2025
906219,109084,Send Docs to TTG,5/22/2025
907727,109084,TTG sent to county,5/23/2025
916056,109084,Post Audit,6/6/2025
906512,109157,Send Docs to TTG,5/22/2025
922774,109157,Documents Received ,6/17/2025
922915,109157,TTG sent to county,6/17/2025
930242,109157,Post Audit,6/28/2025
906523,109159,On Hold- QA,5/22/2025
926815,109159,On Hold- QA,6/24/2025
910173,109551,Send Docs to TTG,5/29/2025
912074,109551,Documents Received ,6/2/2025
912277,109551,TTG sent to county,6/2/2025
919979,109551,Post Audit,6/13/2025
911818,109763,On Hold- QA,6/2/2025
914471,110047,On Hold- QA,6/5/2025
916534,110047,On Hold- QA,6/9/2025
933502,110047,On Hold- QA,7/2/2025
914489,110048,On Hold- QA,6/5/2025
916195,110252,Send Docs to TTG,6/9/2025
918417,110252,Documents Received ,6/11/2025
918573,110252,TTG sent to county,6/11/2025
929276,110252,Post Audit,6/27/2025
916674,110322,On Hold- QA,6/9/2025
917054,110322,Send Docs to TTG,6/9/2025
924629,110322,Documents Received ,6/19/2025
924859,110322,TTG sent to county,6/19/2025
918775,110530,On Hold- QA,6/11/2025
920676,110530,Send Docs to TTG,6/13/2025
922766,110530,Documents Received ,6/17/2025
922922,110530,TTG sent to county,6/17/2025
930174,110530,Post Audit,6/28/2025
919194,110570,Send Docs to TTG,6/12/2025
922750,110570,Documents Received ,6/17/2025
922923,110570,TTG sent to county,6/17/2025
930171,110570,Post Audit,6/28/2025
920604,110684,On Hold- QA,6/13/2025
920608,110686,Send Docs to TTG,6/13/2025
922879,110686,Documents Received ,6/17/2025
922917,110686,TTG sent to county,6/17/2025
930241,110686,Post Audit,6/28/2025
920711,110722,Send Docs to TTG,6/13/2025
923518,110722,Documents Received ,6/18/2025
923544,110722,TTG sent to county,6/18/2025
934551,110722,Post Audit,7/5/2025
935639,110722,WS correction requested ,7/8/2025
945968,110722,WS Correction Complete,7/23/2025
921251,110805,On Hold- QA,6/16/2025
925096,110805,On Hold- QA,6/20/2025
930789,110805,On Hold- QA,6/30/2025
923396,110982,Send Docs to TTG,6/18/2025
925264,110982,Documents Received ,6/20/2025
925392,110982,TTG sent to county,6/20/2025
940461,110982,Post Audit,7/14/2025
923427,110990,On Hold- QA,6/18/2025
924332,111087,Send Docs to TTG,6/19/2025
927982,111087,Documents Received ,6/25/2025
928317,111087,TTG sent to county,6/25/2025
942855,111087,Post Audit,7/17/2025
925093,111157,On Hold- QA,6/20/2025
925726,111214,On Hold- QA,6/20/2025
945739,111214,On Hold- QA,7/23/2025
975181,111214,On Hold- QA,9/4/2025
925900,111248,Send Docs to TTG,6/23/2025
925902,111248,On Hold- QA,6/23/2025
926004,111270,Send Docs to TTG,6/23/2025
928915,111270,Documents Received ,6/26/2025
928950,111270,TTG sent to county,6/26/2025
948853,111270,TTG sent to county,7/28/2025
926098,111284,On Hold- QA,6/23/2025
926696,111284,Send Docs to TTG,6/23/2025
926814,111351,Documents Received ,6/24/2025
929200,111409,Send Docs to TTG,6/26/2025
973318,111409,Documents Received ,9/2/2025
973319,111409,TTG sent to county,9/2/2025
927664,111422,Send Docs to TTG,6/24/2025
932176,111422,Documents Received ,7/1/2025
932177,111422,Documents Received ,7/1/2025
958715,111422,TTG sent to county,8/11/2025
928476,111452,On Hold- QA,6/25/2025
933666,111452,On Hold- QA,7/3/2025
928005,111466,Documents Received ,6/25/2025
928734,111549,On Hold- QA,6/26/2025
961911,111549,On Hold- QA,8/14/2025
929396,111606,On Hold- QA,6/27/2025
968556,111653,Send Docs to TTG,8/25/2025
974592,111653,TTG sent to county,9/4/2025
929902,111658,Send Docs to TTG,6/27/2025
939139,111658,Documents Received ,7/11/2025
939237,111658,TTG sent to county,7/11/2025
944877,111658,Post Audit,7/23/2025
933718,112037,Documents Received ,7/3/2025
973430,112037,Received Title,9/2/2025
974060,112037,TTG sent to county,9/3/2025
933641,112104,On Hold- QA,7/3/2025
950085,112104,Send Docs to TTG,7/30/2025
950093,112104,On Hold- QA,7/30/2025
957555,112104,Send Docs to TTG,8/8/2025
970557,112104,Documents Received ,8/27/2025
970670,112104,TTG sent to county,8/27/2025
933668,112108,Send Docs to TTG,7/3/2025
933687,112115,Send Docs to TTG,7/3/2025
934801,112115,Documents Received ,7/7/2025
958709,112115,TTG sent to county,8/11/2025
971727,112115,TTG sent to county,8/28/2025
933714,112124,Send Docs to TTG,7/3/2025
935179,112124,Documents Received ,7/7/2025
935185,112124,TTG sent to county,7/7/2025
943544,112124,Post Audit,7/19/2025
934185,112179,On Hold- QA,7/3/2025
934275,112179,On Hold- QA,7/3/2025
934692,112179,Send Docs to TTG,7/7/2025
944404,112179,Documents Received ,7/22/2025
944648,112179,TTG sent to county,7/22/2025
961511,112179,TTG sent to county,8/14/2025
973123,112179,TTG sent to county,9/2/2025
934732,112236,On Hold- QA,7/7/2025
936425,112236,On Hold- QA,7/8/2025
942805,112236,Send Docs to TTG,7/17/2025
944355,112236,Documents Received ,7/22/2025
944655,112236,TTG sent to county,7/22/2025
936020,112287,Documents Received ,7/8/2025
938691,112287,Received Title,7/10/2025
939035,112287,TTG sent to county,7/11/2025
947041,112287,TTG sent to county,7/24/2025
936291,112385,Documents Received ,7/8/2025
961519,112385,TTG sent to county,8/14/2025
936500,112424,Send Docs to TTG,7/8/2025
936501,112424,On Hold- QA,7/8/2025
940298,112424,Documents Received ,7/14/2025
940300,112424,TTG sent to county,7/14/2025
937218,112527,Send Docs to TTG,7/9/2025
937220,112527,Send Docs to TTG,7/9/2025
937221,112527,On Hold- QA,7/9/2025
940296,112527,Documents Received ,7/14/2025
940307,112527,TTG sent to county,7/14/2025
938467,112597,Documents Received ,7/10/2025
961520,112597,TTG sent to county,8/14/2025
938688,112632,Send Docs to TTG,7/10/2025
938868,112664,On Hold- QA,7/11/2025
948227,112664,On Hold- QA,7/25/2025
939267,112701,Documents Received ,7/11/2025
939449,112724,On Hold- QA,7/11/2025
942981,112724,On Hold- QA,7/18/2025
943384,112724,On Hold- QA,7/18/2025
939734,112763,Send Docs to TTG,7/14/2025
939735,112763,On Hold- QA,7/14/2025
940936,112889,Documents Received ,7/15/2025
954120,112889,TTG sent to county,8/5/2025
969406,112889,Documents Received ,8/26/2025
971102,112889,TTG sent to county,8/28/2025
941192,112916,On Hold- QA,7/15/2025
966733,112916,Send Docs to TTG,8/22/2025
971395,112916,Documents Received ,8/28/2025
971542,112916,TTG sent to county,8/28/2025
941200,112919,On Hold- QA,7/15/2025
967707,112919,Send Docs to TTG,8/22/2025
971433,112919,Documents Received ,8/28/2025
971536,112919,TTG sent to county,8/28/2025
941204,112920,On Hold- QA,7/15/2025
967705,112920,On Hold- QA,8/22/2025
968836,112920,Send Docs to TTG,8/25/2025
971384,112920,Documents Received ,8/28/2025
971537,112920,TTG sent to county,8/28/2025
943248,112964,Documents Received ,7/18/2025
942230,113005,Send Docs to TTG,7/17/2025
948744,113005,Documents Received ,7/28/2025
948897,113005,TTG sent to county,7/28/2025
962953,113005,Post Audit,8/16/2025
942308,113013,Send Docs to TTG,7/17/2025
946378,113013,Documents Received ,7/24/2025
942592,113043,Documents Received ,7/17/2025
972980,113043,TTG sent to county,9/2/2025
942588,113044,Documents Received ,7/17/2025
972992,113044,TTG sent to county,9/2/2025
972993,113044,TTG sent to county,9/2/2025
942790,113059,On Hold- QA,7/17/2025
943451,113059,Send Docs to TTG,7/18/2025
945091,113059,Documents Received ,7/23/2025
945191,113059,TTG sent to county,7/23/2025
956162,113059,Post Audit,8/6/2025
942857,113074,Send Docs to TTG,7/17/2025
945311,113074,Documents Received ,7/23/2025
943501,113147,Send Docs to TTG,7/19/2025
947063,113147,Documents Received ,7/24/2025
947116,113147,Documents Received ,7/24/2025
947166,113147,TTG sent to county,7/24/2025
943687,113174,On Hold- QA,7/21/2025
944783,113174,On Hold- QA,7/22/2025
963313,113174,Send Docs to TTG,8/18/2025
967412,113174,Documents Received ,8/22/2025
967432,113174,TTG sent to county,8/22/2025
944097,113211,On Hold- QA,7/21/2025
946224,113211,On Hold- QA,7/24/2025
962009,113211,Send Docs to TTG,8/14/2025
964392,113211,Documents Received ,8/19/2025
964528,113211,TTG sent to county,8/19/2025
967973,113211,Post Audit,8/23/2025
944128,113212,On Hold- QA,7/21/2025
948230,113212,On Hold- QA,7/25/2025
948239,113212,On Hold- QA,7/25/2025
966735,113212,Send Docs to TTG,8/22/2025
966736,113212,Send Docs to TTG,8/22/2025
944149,113216,Send Docs to TTG,7/21/2025
947687,113216,Documents Received ,7/25/2025
948959,113216,TTG sent to county,7/28/2025
975119,113216,TTG sent to county,9/4/2025
944290,113245,On Hold- QA,7/22/2025
967736,113245,Send Docs to TTG,8/22/2025
969749,113245,Documents Received ,8/26/2025
969771,113245,TTG sent to county,8/26/2025
970511,113245,TTG sent to county,8/27/2025
944310,113251,On Hold- QA,7/22/2025
967740,113251,On Hold- QA,8/22/2025
969975,113251,Send Docs to TTG,8/26/2025
973077,113251,Documents Received ,9/2/2025
973113,113251,TTG sent to county,9/2/2025
944757,113289,On Hold- QA,7/22/2025
946220,113289,Send Docs to TTG,7/24/2025
948724,113289,Documents Received ,7/28/2025
945013,113317,On Hold- QA,7/23/2025
945901,113317,On Hold- QA,7/23/2025
947649,113349,Documents Received ,7/25/2025
945706,113376,On Hold- QA,7/23/2025
959857,113376,On Hold- QA,8/13/2025
962010,113376,Send Docs to TTG,8/14/2025
968765,113376,Documents Received ,8/25/2025
968882,113376,TTG sent to county,8/25/2025
945718,113380,On Hold- QA,7/23/2025
945722,113381,On Hold- QA,7/23/2025
945738,113383,On Hold- QA,7/23/2025
945745,113384,On Hold- QA,7/23/2025
975186,113384,On Hold- QA,9/4/2025
945763,113392,On Hold- QA,7/23/2025
945957,113424,On Hold- QA,7/23/2025
966702,113424,Send Docs to TTG,8/21/2025
968853,113424,Documents Received ,8/25/2025
968863,113424,TTG sent to county,8/25/2025
946113,113435,Send Docs to TTG,7/24/2025
946116,113437,On Hold- QA,7/24/2025
946835,113491,Send Docs to TTG,7/24/2025
946838,113491,On Hold- QA,7/24/2025
946842,113491,On Hold- QA,7/24/2025
947012,113509,On Hold- QA,7/24/2025
948243,113509,Send Docs to TTG,7/25/2025
949523,113509,Documents Received ,7/29/2025
949650,113509,TTG sent to county,7/29/2025
947044,113514,Send Docs to TTG,7/24/2025
948776,113514,Documents Received ,7/28/2025
948917,113514,TTG sent to county,7/28/2025
962171,113514,Post Audit,8/15/2025
963129,113514,WS correction requested ,8/18/2025
947509,113539,Send Docs to TTG,7/25/2025
948767,113539,Documents Received ,7/28/2025
948925,113539,TTG sent to county,7/28/2025
962043,113539,Post Audit,8/15/2025
948573,113561,Documents Received ,7/28/2025
948575,113562,Documents Received ,7/28/2025
948492,113573,Documents Received ,7/28/2025
950724,113573,Received Title,7/31/2025
973420,113573,Successfully Sent to DMV,9/2/2025
948215,113597,Send Docs to TTG,7/25/2025
949581,113597,Documents Received ,7/29/2025
949631,113597,TTG sent to county,7/29/2025
948266,113613,On Hold- QA,7/25/2025
971719,113613,Send Docs to TTG,8/28/2025
973088,113613,Documents Received ,9/2/2025
973111,113613,TTG sent to county,9/2/2025
948374,113630,On Hold- QA,7/28/2025
956660,113630,Send Docs to TTG,8/7/2025
948413,113643,On Hold- QA,7/28/2025
957036,113643,On Hold- QA,8/7/2025
967725,113643,Send Docs to TTG,8/22/2025
971556,113643,TTG sent to county,8/28/2025
948502,113663,Send Docs to TTG,7/28/2025
948571,113677,Send Docs to TTG,7/28/2025
950448,113678,Send Docs to TTG,7/30/2025
972087,113678,Documents Received ,8/29/2025
972098,113678,Documents Received ,8/29/2025
972100,113678,TTG sent to county,8/29/2025
948704,113684,Send Docs to TTG,7/28/2025
949440,113687,Documents Received ,7/29/2025
950747,113687,Received Title,7/31/2025
952685,113687,Successfully Sent to DMV,8/4/2025
949447,113693,Documents Received ,7/29/2025
950739,113693,Received Title,7/31/2025
952719,113693,Successfully Sent to DMV,8/4/2025
949128,113710,On Hold- QA,7/28/2025
949139,113713,On Hold- QA,7/28/2025
949398,113738,On Hold- QA,7/29/2025
949852,113738,On Hold- QA,7/29/2025
950524,113765,On Hold- QA,7/30/2025
956273,113765,On Hold- QA,8/6/2025
956377,113765,Send Docs to TTG,8/6/2025
959154,113765,Documents Received ,8/12/2025
959348,113765,TTG sent to county,8/12/2025
965860,113765,Post Audit,8/21/2025
950543,113779,On Hold- QA,7/30/2025
956275,113779,On Hold- QA,8/6/2025
956375,113779,Send Docs to TTG,8/6/2025
959148,113779,Documents Received ,8/12/2025
959346,113779,TTG sent to county,8/12/2025
965844,113779,Post Audit,8/21/2025
949884,113782,Send Docs to TTG,7/30/2025
956110,113782,Documents Received ,8/6/2025
956137,113782,TTG sent to county,8/6/2025
956402,113782,TTG sent to county,8/6/2025
950845,113806,Documents Received ,7/31/2025
950846,113807,Documents Received ,7/31/2025
950091,113812,Send Docs to TTG,7/30/2025
971826,113812,TTG sent to county,8/28/2025
950173,113817,Documents Received ,7/30/2025
972985,113817,TTG sent to county,9/2/2025
950176,113818,Documents Received ,7/30/2025
970338,113818,TTG sent to county,8/27/2025
950177,113819,Documents Received ,7/30/2025
970309,113819,Documents Received ,8/27/2025
970311,113819,TTG sent to county,8/27/2025
950178,113820,Documents Received ,7/30/2025
950141,113821,Send Docs to TTG,7/30/2025
951248,113827,Documents Received ,8/1/2025
953368,113827,Received Title,8/4/2025
954195,113827,Successfully Sent to DMV,8/5/2025
951254,113829,Documents Received ,8/1/2025
953366,113829,Received Title,8/4/2025
954183,113829,Successfully Sent to DMV,8/5/2025
951252,113830,Documents Received ,8/1/2025
953365,113830,Received Title,8/4/2025
954188,113830,Successfully Sent to DMV,8/5/2025
951250,113831,Documents Received ,8/1/2025
953363,113831,Received Title,8/4/2025
954124,113831,Successfully Sent to DMV,8/5/2025
951253,113832,Documents Received ,8/1/2025
953362,113832,Received Title,8/4/2025
954191,113832,Successfully Sent to DMV,8/5/2025
951251,113833,Documents Received ,8/1/2025
953361,113833,Received Title,8/4/2025
954194,113833,Successfully Sent to DMV,8/5/2025
950520,113855,On Hold- QA,7/30/2025
955075,113855,Send Docs to TTG,8/6/2025
960172,113855,Documents Received ,8/13/2025
960237,113855,TTG sent to county,8/13/2025
950540,113862,On Hold- QA,7/30/2025
950547,113864,On Hold- QA,7/30/2025
954930,113864,Send Docs to TTG,8/5/2025
956855,113864,Documents Received ,8/7/2025
956857,113864,On Hold- QA,8/7/2025
968884,113864,TTG sent to county,8/25/2025
950569,113875,On Hold- QA,7/31/2025
960329,113875,Send Docs to TTG,8/13/2025
950571,113876,On Hold- QA,7/31/2025
951157,113876,Send Docs to TTG,7/31/2025
957357,113876,Documents Received ,8/8/2025
957444,113876,TTG sent to county,8/8/2025
959716,113876,Post Audit,8/13/2025
950772,113888,Documents Received ,7/31/2025
951193,113928,Send Docs to TTG,8/1/2025
953306,113928,Documents Received ,8/4/2025
953316,113928,TTG sent to county,8/4/2025
964772,113928,Post Audit,8/19/2025
951206,113933,Send Docs to TTG,8/1/2025
951243,113936,Send Docs to TTG,8/1/2025
962390,113936,Documents Received ,8/15/2025
962405,113936,TTG sent to county,8/15/2025
967375,113936,Post Audit,8/22/2025
952451,114016,Documents Received ,8/4/2025
958000,114016,Received Title,8/11/2025
960508,114016,TTG sent to county,8/13/2025
966980,114016,Successfully Sent to DMV,8/22/2025
970486,114016,TTG sent to county,8/27/2025
952026,114052,On Hold- QA,8/1/2025
953364,114052,Send Docs to TTG,8/4/2025
968777,114052,Documents Received ,8/25/2025
968876,114052,TTG sent to county,8/25/2025
952036,114055,On Hold- QA,8/1/2025
952043,114059,On Hold- QA,8/1/2025
965473,114059,Send Docs to TTG,8/20/2025
971304,114059,Documents Received ,8/28/2025
952058,114065,Send Docs to TTG,8/1/2025
958720,114065,Documents Received ,8/11/2025
958722,114065,TTG sent to county,8/11/2025
968420,114065,Post Audit,8/25/2025
952076,114074,Send Docs to TTG,8/1/2025
958583,114074,Documents Received ,8/11/2025
958653,114074,TTG sent to county,8/11/2025
970711,114074,TTG sent to county,8/27/2025
952107,114086,Send Docs to TTG,8/2/2025
972363,114086,Documents Received ,8/29/2025
972369,114086,TTG sent to county,8/29/2025
952125,114095,Send Docs to TTG,8/2/2025
962382,114095,Documents Received ,8/15/2025
962398,114095,TTG sent to county,8/15/2025
967361,114095,Post Audit,8/22/2025
952165,114114,Send Docs to TTG,8/2/2025
954271,114115,Documents Received ,8/5/2025
958118,114115,Received Title,8/11/2025
958706,114115,Successfully Sent to DMV,8/11/2025
954273,114116,Documents Received ,8/5/2025
958117,114116,Received Title,8/11/2025
958710,114116,Successfully Sent to DMV,8/11/2025
954274,114117,Documents Received ,8/5/2025
958116,114117,Received Title,8/11/2025
958713,114117,Successfully Sent to DMV,8/11/2025
954276,114118,Documents Received ,8/5/2025
958115,114118,Received Title,8/11/2025
958581,114118,Successfully Sent to DMV,8/11/2025
954279,114119,Documents Received ,8/5/2025
958114,114119,Received Title,8/11/2025
958585,114119,Successfully Sent to DMV,8/11/2025
954275,114120,Documents Received ,8/5/2025
958112,114120,Received Title,8/11/2025
958519,114120,Successfully Sent to DMV,8/11/2025
954278,114121,Documents Received ,8/5/2025
958111,114121,Received Title,8/11/2025
958530,114121,Successfully Sent to DMV,8/11/2025
